Year	bcc_csm1_1	CCSM4	FGOALS_gl	FGOALS_s2	IPSL_CM5A_LR	MPI_ESM_P	CSIRO	GISS-E2-R_r1i1p121	GISS-E2-R_r1i1p127	GISS-E2-R_r1i1p127	HadCM3	CESM_member_1	CESM_member_2	CESM_member_3	CESM_member_4	CESM_member_5	CESM_member_6	CESM_member_7	CESM_member_8	CESM_member_9	CESM_member_10
1012	-0.327167335497483	-0.59537950897261	-0.330483788096061	-0.994903227888519	-0.700849404214621	-0.213048883749804	-0.555417038910673	-0.281307436304633	-0.220228022162337	-0.400856646551983	-0.326305663252424	-0.188120651244787	-0.0431785583500641	-0.219408035278434	-0.204168319702546	0.0185935974120071	-0.163181304931584	-0.0124553680419126	-0.0339260101314949	0.0227680206294281	-0.0169647216793578
1013	-0.402267731292777	-0.609486156693127	-0.463195099233906	-1.01934448705492	-0.706369323452421	-0.397312016364466	-0.515836693756864	-0.225477047043387	-0.272982871357817	-0.394571068539517	-0.205443179274153	-0.116221237182799	0.0256385803219246	0.0142955780025318	-0.0697383880615234	0.108589935302973	-0.327213287353572	0.0487628936771216	0.0220432281494709	-0.0767803192135261	0.220706176757631
1014	-0.485130383574281	-0.277805915986272	-0.252772277151655	-0.884921352170263	-0.894014262381448	-0.496310489649614	-0.461471058838652	-0.224950678425375	-0.258371001307387	-0.556740793242352	-0.229622995520185	-0.0666301727297878	0.0394630432129475	0.0902233123775318	0.00115394592245366	0.142250823975019	-0.153995513915561	-0.0059856414799242	-0.127462387085529	-0.160276412963526	0.113284301757631
1015	-0.394321520499527	-0.26595707513156	-0.159357764570351	-1.1124797012046	-0.738319181995933	-0.475242153659528	-0.458344556801603	-0.346089280920569	-0.187980389420409	-0.397444340243237	-0.324313616419386	-0.0800884246827991	-0.0492210388180752	0.201704025268555	-0.0411128997805008	-0.00130386352498135	-0.0527992248535725	0.0296588897700758	-0.206472396850529	-0.0339946746825603	-0.141842651367369
1016	-0.258047140135652	-0.503880007063493	-0.433521420426137	-1.01578750842087	-0.77099968535524	-0.412413337873326	-0.380295820944593	-0.33390373714501	-0.29558039290132	-0.329093816532986	-0.201111799145292	-0.154490280151833	-0.243465423584041	0.128461837768555	-0.194982528686523	-0.121543121337993	-0.0257301330565838	0.0695148468021216	-0.184438705444506	0.0690937042234623	-0.112576293945381
1017	-0.30151057836663	-0.539556867387245	-0.422818961722917	-0.945343179410527	-0.743472100824238	-0.331807604304858	-0.325724430792616	-0.281028277950827	-0.420375054900069	-0.356288435711758	-0.11212301816995	-0.292185592651833	-0.260066986084041	-0.104967117309457	-0.247747421264535	-0.0561744689940156	0.101253509521428	0.130000686645076	-0.0873317718505291	0.00720405578647387	0.0378448486326306
1018	-0.363679022336788	-0.524420648558305	-0.278366997515668	-1.19364995936388	-0.811400050808068	-0.587363413376593	-0.415370740406797	-0.44826240070397	-0.512369578902144	-0.547000023379223	-0.236450200939726	-0.222269821166833	-0.10979843139603	-0.231767654418434	-0.106359481811523	-0.147025299072027	0.0143089294434162	0.120875930786099	-0.0555934906005291	-0.104185104370572	0.150119018554619
1019	-0.579237180743999	-0.438775997910184	-0.167523791475826	-1.21659209833029	-0.956608045541157	-0.679131079046611	-0.370148875229643	-0.44990111120278	-0.399350052897353	-0.526542457594769	-0.22509372797067	-0.0051677703858104	-0.00655746460006412	-0.309679031372468	0.0731143951414879	-0.286643218994016	-0.100223541259595	-0.00171318054191261	-0.133840560913541	-0.0574932098385261	-0.0132110595703807
1020	-0.571692327016618	-0.472411092322495	-0.180991589811753	-1.22864329159832	-0.890458938757826	-0.552059851497351	-0.479377128594206	-0.368262476997916	-0.384836083475966	-0.40553084279527	-0.26491410102899	0.109364700317201	-0.0707359313960296	-0.216173171997468	0.155755996704499	0.0324485778809844	-0.0592079162595951	-0.0860637664799242	-0.0663051605225178	-0.0175762176515377	-0.112606811523392
1021	-0.513700177279639	-0.570181492251372	-0.494601414738447	-1.38443536258329	-0.804432095627448	-0.475676854321182	-0.53284422349243	-0.478983230667654	-0.483383720938582	-0.447747143759625	-0.409062033558439	-0.121531295776833	-0.14153671264603	-0.0121631622314453	-0.138036727905501	0.0774925231929728	-0.163211822509595	-0.134830856322878	0.0219516754144706	-0.156492233276538	-0.161679077148392
1022	-0.307059245719057	-0.576182527396983	-0.42176669528303	-1.27554866280547	-0.844355263558852	-0.301191610167682	-0.426177598946379	-0.360043056088034	-0.375638311926741	-0.340912255301373	-0.355261540079664	-0.212015914916833	-0.115322113037053	0.107221603393555	-0.216680526733512	-0.00417251586901557	-0.131443023681584	-0.168796920776913	0.123117446899471	-0.0513896942135261	-0.029843139648392
1023	-0.47550107212173	-0.643806235891039	-0.210474648733569	-1.29038247844508	-0.860570193135436	-0.433277496065941	-0.458207883351133	-0.288439251261298	-0.355480199877638	-0.295021536602872	-0.380788898134779	-0.0722148895268333	0.0492286682129475	0.0637340545655434	-0.173528671264535	-0.0542823791499814	0.0232810974123936	-0.12006034851089	0.139474868774471	0.0109882354734623	0.00314636230461929
1024	-0.46859381453397	-0.65898824253085	-0.238888144235884	-1.03322155261471	-0.934914068474629	-0.455627969380045	-0.543714799397276	-0.315783209877554	-0.244292115990538	-0.454597803606885	-0.335245853329252	0.109730911255213	0.0963172912599362	-0.114244461059457	0.0708560943604652	-0.0378334045410043	-0.0676612854005612	0.0259052276610987	-0.11763572692854	-0.0370159149175606	0.0411407470706422
1025	-0.451615048853963	-0.57339238131928	-0.565761244660627	-1.11655399593746	-0.805497574737694	-0.563301955211246	-0.61216322373657	-0.309872574883047	-0.474214559618849	-0.425907703890698	-0.52553934421594	-0.133738327026833	0.0355567932129475	-0.101060867309457	0.0286197662354652	0.120827484130984	-0.102237701415561	0.155879592895076	-0.158102035522518	-0.164274215698526	0.101504516601608
1026	-0.463998810940757	-0.371308196746829	-0.478021404644469	-1.26964926158953	-0.54804769512544	-0.422302416167537	-0.566239156239317	-0.374462790566031	-0.375826841418166	-0.462067517294781	-0.354997074270796	-0.329539108276833	0.109806060790959	-0.044115066528434	-0.275854110717546	0.0669334411620071	-0.0520973205565838	-0.0299114227299242	-0.173574447631495	-0.132719039917561	-0.0818145751953807
1027	-0.6358142189619	-0.55203701773827	-0.187861912732497	-1.20011524051871	-0.606556451437049	-0.5185198340226	-0.450842298977659	-0.376156694965903	-0.325021421734709	-0.391678067698376	-0.301678692961286	-0.350168991088822	0.128910064696925	0.0930309295655434	-0.304876327514535	-0.0750343322749814	0.288326263427393	-0.123203659057879	0.0182285308835048	-0.0638408660885261	-0.173519897461404
1028	-0.510922386375548	-0.672544626354641	-0.257706302116397	-0.982985391923462	-0.745074454679444	-0.470033323938989	-0.380149610750959	-0.308822519856039	-0.27525756341638	-0.344220909132855	-0.416096454525541	-0.357554244994787	0.103641510009936	-0.0636768341064453	-0.250860214233512	-0.142417144774981	0.253414154052393	-0.0349468231199239	0.0515842437744709	-0.130125045776538	-0.148678588867369
1029	-0.473361265514443	-0.643129495658589	-0.287450382021512	-1.02568773417621	-0.650239849560016	-0.30708217725238	-0.42570880841522	-0.414042956905905	-0.302013403002638	-0.454584690585034	-0.416835045481275	-0.319041061401833	-0.0714683532710296	-0.204820632934457	-0.0999202728275463	0.0996482849120071	-0.0712928771976067	-0.0413860321049242	-0.176015853881495	0.0412006378174397	-0.00201110839839203
